B11,B12,B2,B3,B4,B8,EVI,NDVI,NDWI,SAVI,date
,,,,,,,,,,2023-04-21
0.22610000000000002,0.1346,0.0089,0.043300000000000005,0.021,0.4315,0.6884118732181788,0.9071823204419889,-0.8176074136478517,0.6464566929133857,2023-05-06
0.18860000000000002,0.1155,0.0575,0.0784,0.053200000000000004,0.4239,0.706445096619278,0.776985956822469,-0.6878359546087996,0.5690819772797052,2023-05-11
0.2278,0.1423,0.029500000000000002,0.0648,0.046900000000000004,0.4043,0.6101266687152173,0.7921099290780141,-0.723726284374334,0.5636038687973086,2023-05-21
0.22610000000000002,0.1464,0.045000000000000005,0.078,0.058600000000000006,0.3624,0.55176171449328,0.7216152019002375,-0.6457765667574932,0.49478827361563515,2023-05-31
0.2212,0.1376,0.0545,0.08610000000000001,0.061200000000000004,0.3443,0.5432738437919785,0.698150431565968,-0.599907063197026,0.4689674213141911,2023-06-10
0.2508,0.1593,0.060000000000000005,0.0998,0.0891,0.33080000000000004,0.42691112053129865,0.5756132412479161,-0.536460752438458,0.39411892597021414,2023-06-15
0.28290000000000004,0.3393,0.056900000000000006,0.0915,0.0964,0.24130000000000001,0.2600595857712051,0.42907906425821746,-0.4501201923076924,0.25946042736063035,2023-07-20
0.2338,0.1369,0.0524,0.1032,0.07690000000000001,0.3219,0.4405523987628569,0.6143430290872617,-0.5144671841919548,0.40887850467289716,2023-08-29
0.26530000000000004,0.1678,0.0658,0.11800000000000001,0.0921,0.3652,0.47935828126097035,0.5972009621692543,-0.5115894039735099,0.42792228141648386,2023-09-03
0.2215,0.1579,0.0664,0.0932,0.1018,0.1794,0.1501315585822628,0.2759601706970128,-0.31621423330887743,0.1490015360983103,2023-09-18
0.259,0.18000000000000002,0.0679,0.10540000000000001,0.096,0.28290000000000004,0.3462008668914163,0.49326999208234373,-0.45712078289981983,0.3189782682899079,2023-09-28
0.27890000000000004,0.2421,0.0693,0.10980000000000001,0.12760000000000002,0.2006,0.1261709703066127,0.22242535039609984,-0.29252577319587625,0.1322144409562907,2023-10-03
0.28350000000000003,0.24070000000000003,0.08900000000000001,0.1254,0.1514,0.2129,0.10575732562938504,0.168816909140818,-0.2586461720366538,0.10673377299548767,2023-10-08
0.25930000000000003,0.2321,0.0752,0.11080000000000001,0.1283,0.1902,0.11085243553008599,0.19434850863422296,-0.26378737541528235,0.11343921808185707,2023-10-13
0.1942,0.14750000000000002,0.054200000000000005,0.07640000000000001,0.0888,0.1509,0.12155496398371436,0.2590738423028786,-0.3277606687197536,0.12592943085034472,2023-10-18
0.2551,0.23090000000000002,0.07540000000000001,0.1056,0.1292,0.18730000000000002,0.10397279885468863,0.18357030015797793,-0.27893479003072724,0.10673606858542561,2023-10-23
0.2775,0.2333,0.0828,0.1058,0.1384,0.1956,0.10177935943060498,0.17125748502994015,-0.2979429329794293,0.10287769784172662,2023-10-28
0.26130000000000003,0.2369,0.0756,0.11080000000000001,0.1338,0.19240000000000002,0.10257666993418292,0.17964438994481916,-0.2691292875989446,0.10639070442992014,2023-11-02
0.2595,0.21400000000000002,0.0862,0.115,0.12940000000000002,0.21430000000000002,0.15790061002826958,0.24701774803607798,-0.30154873975098695,0.15094227806092214,2023-11-07
0.2444,0.2005,0.06960000000000001,0.1058,0.11800000000000001,0.1836,0.1197429906542056,0.21750663129973474,-0.26883206634416035,0.12275449101796407,2023-11-12
0.21130000000000002,0.1547,0.1264,0.13540000000000002,0.13620000000000002,0.2122,0.17569816904013313,0.21814006888633747,-0.22094361334867657,0.13437057991513435,2023-11-17
0.2099,0.1688,0.1076,0.1282,0.1168,0.1825,0.1526061507014773,0.2195121951219512,-0.17476665593820404,0.12329538346052796,2023-11-22
0.19870000000000002,0.1388,0.07830000000000001,0.1022,0.0916,0.20700000000000002,0.24671826228246468,0.3864701942397857,-0.3389391979301423,0.2167543200601052,2023-12-02
0.1832,0.10830000000000001,0.060700000000000004,0.0886,0.06960000000000001,0.27140000000000003,0.40891590678824724,0.5917888563049853,-0.5077777777777778,0.35992865636147453,2023-12-12
0.1762,0.10830000000000001,0.0351,0.0625,0.0402,0.3385,0.5664856242166432,0.7876947451808819,-0.6882793017456359,0.5092181631956298,2023-12-17
0.17020000000000002,0.1159,0.058600000000000006,0.0767,0.0592,0.2139,0.34237783286118983,0.5664591724642988,-0.47212663454920845,0.30015521924718663,2024-02-10
0.20550000000000002,0.1441,0.0553,0.0758,0.06860000000000001,0.20070000000000002,0.27577136654001916,0.4905310063126624,-0.45171790235081377,0.2575718185363317,2024-02-15
0.2394,0.18430000000000002,0.0976,0.12040000000000001,0.1184,0.2489,0.2658274260571987,0.35529539885652056,-0.3479555916598971,0.225700449671394,2024-02-20
,,,,,,,,,,2024-02-25
0.2454,0.2146,0.07400000000000001,0.1052,0.1252,0.19940000000000002,0.1329177414732015,0.22858903265557615,-0.30925804333552204,0.13497453310696098,2024-03-01
0.264,0.24000000000000002,0.0864,0.11960000000000001,0.1422,0.21230000000000002,0.12363315696649035,0.1977433004231312,-0.27930099427538413,0.12305441778818026,2024-03-11
